Time;10000;20000;30000;40000;50000;60000;70000;80000;90000;100000;110000;120000;130000;140000;150000;160000;170000;180000;190000;200000;210000;220000;230000;240000;250000;260000;270000;280000;290000;300000;310000;320000;330000;340000;350000;360000;370000;380000;390000;400000;410000;420000;430000;440000;450000;460000;470000;480000;490000;500000;510000;520000;530000;540000;550000;560000;570000;580000;590000;600000;610000;620000;630000;640000;650000;660000;670000;680000;690000;700000;710000;720000;730000;740000;750000;760000;770000;780000;790000;800000;810000;820000;830000;840000;850000;860000;870000;880000;890000;900000;910000;920000;930000;940000;950000;960000;970000;980000;990000;1e+06;
V(/B);2,5;3,33333;3,75;4;4,16667;4,28571;4,375;4,44444;4,5;4,54545;4,58333;4,61538;4,64286;4,66667;4,6875;4,70588;4,72222;4,73684;4,75;4,7619;4,77273;4,78261;4,79167;4,8;4,80769;4,81481;4,82143;4,82759;4,83333;4,83871;4,84375;4,84848;4,85294;4,85714;4,86111;4,86486;4,86842;4,87179;4,875;4,87805;4,88095;4,88372;4,88636;4,88889;4,8913;4,89362;4,89583;4,89796;4,9;4,90196;4,90385;4,90566;4,90741;4,90909;4,91071;4,91228;4,91379;4,91525;4,91667;4,91803;4,91935;4,92063;4,92188;4,92308;4,92424;4,92537;4,92647;4,92754;4,92857;4,92958;4,93056;4,93151;4,93243;4,93333;4,93421;4,93506;4,9359;4,93671;4,9375;4,93827;4,93902;4,93976;4,94048;4,94118;4,94186;4,94253;4,94318;4,94382;4,94444;4,94505;4,94565;4,94624;4,94681;4,94737;4,94792;4,94845;4,94898;4,94949;4,95;4,9505;
